ibgecode,mun,uf,div_regiao,distcap,ideb_2005,ideb_2007,ideb_2009,ideb_2011,mtm_2005,mtm_2007,mtm_2009,mtm_2011,lp_2005,lp_2007,lp_2009,lp_2011,pop_2005,Dpibpc_0005,pibpc_2005,pibpc_2007,pibpc_2009,pibpc_2011,idh_2000
2307304,448,CE,1,396,3.3,3.7,4,4.3,171.4,178.1,182,187.16,164.6,162.34,165.9,174.08,236296,0.969551567,29.5316518,33.98334894,37.16943812,43.65912835,0.544
2307403,450,CE,0,329,3.4,3.5,3.7,5.2,168.4,173.06,165.73,202.6,161.6,157.89,154.97,185.19,23592,-3.422841059,2.483045321,2.634779928,3.06512301,3.468478177,0.441
2307502,484,CE,1,339,2.2,2.6,3.1,3.9,156,169.69,176.4,186.46,148.8,154.56,159.43,172.6,31486,-3.816590964,2.263299736,2.662199333,2.870295472,3.054725523,0.46
2307601,486,CE,1,165,3.5,3.9,4.4,5.1,172.4,185.64,198.29,204.65,162.6,169.12,180.85,190.37,54582,8.06728348,4.596193818,5.974960254,4.290153228,4.637362069,0.561
2307635,497,CE,0,170,2.8,2.9,4.4,4.6,162.2,157.01,191.8,199.15,157.2,146.09,177.07,176.49,16245,0.81213547,0.510365538,0.521842777,0.555961393,0.616959379,0.443
2307650,506,CE,0,20,3.9,3.8,4.8,5,172.8,181.32,202.29,202.99,168.6,165.86,185.08,187.03,193879,NA,NA,NA,NA,NA,0.575
2307700,508,CE,0,25,3.7,3.7,4.4,4.9,164.4,173.34,186.39,198.29,158.2,158.7,172.02,184.76,98429,NA,NA,NA,NA,NA,0.524
2307809,511,CE,1,190,3.1,3.3,3.7,4.9,159.6,161.5,169.01,199.67,152.4,148.3,150.71,175.77,20253,NA,NA,NA,NA,NA,0.446
2307908,516,CE,1,245,3,4,4.5,5.4,162.4,186.25,195.26,222.24,159.4,172.46,171.84,194.76,9952,2.285923752,0.943023976,1.047016772,1.302719572,1.444343645,0.407
2308005,518,CE,0,201,3.2,3.7,4.1,4.9,164.2,169.59,172.75,200.98,155.4,155.53,161.61,177.04,33261,4.058032803,0.919713078,1.043482502,1.076423558,1.119565217,0.423
2308104,525,CE,1,407,2.3,2.9,4.2,5,154.6,162.02,182.23,207.59,143.6,147.43,162.19,180.05,43417,-4.088807248,5.270021003,6.958700068,7.752784595,7.264250138,0.445
2308203,527,CE,0,213,2.8,3.2,4.7,5.4,167.4,178.75,187.39,213.26,165.4,164.12,179.31,198.07,11898,1.329378453,5.43038845,5.944424903,6.514905149,7.354978355,0.44
2308302,531,CE,1,400,2.6,3.5,3.6,4.1,157.8,165.02,173.91,187.57,155,150.32,162.01,179.89,30965,-2.356997665,2.79375848,2.831670187,3.54582715,3.866464002,0.45
2308377,534,CE,0,159,3.3,3.4,4.2,4.3,157.6,161.93,185.36,182.89,148.2,147.59,162.69,170.16,12272,0.010359349,1.323932704,1.280258673,1.521959319,1.617651757,0.394
2308401,536,CE,1,396,2.5,3,3.4,4,150.8,163.19,165.1,178.62,147.2,148.8,145.9,161.65,34690,-0.93330683,3.608024159,4.802529616,5.707245119,5.864419995,0.444
2308500,538,CE,0,254,3,3.2,4.2,4.8,175,171.23,194.25,201.42,167,152.99,170.88,179.96,41454,1.688853123,9.080467125,8.538373589,9.490269151,10.28746929,0.399
2308609,541,CE,1,206,1.7,2.6,3.4,4.4,148.2,167.49,183.54,188.66,138.8,157.04,166.72,173.66,16856,-2.964025663,0.60868721,0.692394317,0.75450123,0.831360607,0.437
2308708,549,CE,1,155,3.3,2.6,3.5,4.4,180,166.68,184.05,198.24,163.8,147.86,166.29,178.25,67838,-3.505660639,5.225795401,6.108205591,6.652595101,6.694504289,0.485
2308906,553,CE,1,184,2.9,3.1,4.3,5.6,152.8,157.72,184.14,216.07,141.4,143.7,168.51,197.49,20059,4.133298232,2.748873007,3.027081468,3.619689232,3.853260286,0.415
2309003,557,CE,0,246,3.5,4.5,5,7.6,166.8,192.83,203.66,279.11,166.4,180.32,186.04,238.84,14976,2.166299047,2.300146413,2.361091425,2.495516967,2.770826092,0.458
2309102,558,CE,0,82,2.5,3.1,3.9,4.6,157.8,165.23,172.57,190.91,154.4,140.57,163.86,181.38,9558,0.788157065,0.773999241,0.988960083,0.927342178,0.958431628,0.48
2309201,571,CE,1,394,2.7,4,4.5,5.5,154,184.38,190.3,211.13,152.2,170.95,176.58,194.97,12530,-0.952758392,4.669285714,5.38110998,6.40103909,7.367114264,0.451
2309300,573,CE,1,250,2.8,3,3.3,4.2,175.8,170.64,173.01,190.91,164.2,154.2,159.31,179,29870,2.067468167,10.36191651,10.69836197,11.22119638,12.74572317,0.459
2309409,575,CE,1,319,3.3,3.4,4.5,6.5,155.6,165.69,187.11,244.64,146.4,149.53,170.33,210.56,25598,-3.222491862,12.60576577,15.52439024,17.39853395,19.29816514,0.422
2309458,578,CE,0,86,2.8,2.7,3.7,4.7,160.2,159.7,174.76,195.71,157.8,143.94,158.51,184.24,22684,1.220616463,3.124315213,3.65628686,4.186819484,3.981376263,0.434
2309508,587,CE,1,282,2.6,2.9,3.5,4.7,154.8,173.16,179.06,204.78,148.6,158.18,160.88,180.81,22029,-1.830756919,3.231784133,3.677054333,3.805955978,4.062703444,0.465
2309607,591,CE,0,51,2.5,3.1,4,4.8,156.6,173.7,186.89,207.93,148.4,156.74,171.64,195.57,51757,2.012007126,38.27096774,33.15335213,33.45505111,38.07928346,0.508
